societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
INTUR,USCITE_MATERIE_PRIME,IDRO-TOP SRL,FORNITORE,1035,,IDRO-TOP S.R.L.
INTUR,USCITE_MATERIE_PRIME,Locali d'autore,FORNITORE,497,,Locali d Autore SRL
INTUR,USCITE_MATERIE_PRIME,Mediterraneo,FORNITORE,1048,,MEDITERRANEO SNC DI TRAMONTANO
INTUR,USCITE_MATERIE_PRIME,Ninni,FORNITORE,146,,NINNI S.R.L.
INTUR,USCITE_MATERIE_PRIME,Pasticceria Trieste,FORNITORE,79,,PASTICCERIA TRIESTE - S.A.S. DI DE RISO ANNA E C.
INTUR,USCITE_MATERIE_PRIME,Rastrelli Antonia,FORNITORE,,TODO,TODO_CODICE_FORNITORE
INTUR,USCITE_MATERIE_PRIME,Panorama Company Srl,FORNITORE,264,, PANORAMA COMPANY S.R.L.
INTUR,USCITE_MATERIE_PRIME,Paravia,FORNITORE,64,,PARAVIA ELEVATORS SRL
INTUR,USCITE_MATERIE_PRIME,Primavera Servizi Srl,FORNITORE,137,,PRIMAVERA SERVIZI S.R.L.
INTUR,USCITE_MATERIE_PRIME,Giardiniello,FORNITORE,236,,RISTORANTE GIARDINIELLO SRL
INTUR,USCITE_MATERIE_PRIME,Tecno Campania,FORNITORE,85,,TECNO CAMPANIA SRL
INTUR,USCITE_MATERIE_PRIME,Vulaj (Ceramica),FORNITORE,211,,VULAJ PASQUALE
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_TASSE (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_TASSE,IMU,CATEGORIA,,710104,
INTUR,USCITE_TASSE,I ACCONTO IMPOSTE,CATEGORIA,,350301,
INTUR,USCITE_TASSE,TARI,CATEGORIA,,630519,
INTUR,USCITE_TASSE,IVA,CATEGORIA,,350101,
INTUR,USCITE_TASSE,IRES,CATEGORIA,,350301,
INTUR,USCITE_TASSE,IRAP,CATEGORIA,,350301,
INTUR,USCITE_TASSE,AFFRANCAMENTO,CATEGORIA,,350301,
INTUR,USCITE_TASSE,ARRETRATO IMPOSTE,CATEGORIA,,350301,
INTUR,USCITE_TASSE,ARRETRATO IMU,CATEGORIA,,710104,
INTUR,USCITE_TASSE,Ritenute professionisti (1040),CATEGORIA,,350305,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_MUTUI (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_MUTUI,Mutuo Banca Intesa,CATEGORIA,,310392,
INTUR,USCITE_MUTUI,Finanziamenti medio/lungo,CATEGORIA,,310305,
INTUR,USCITE_MUTUI,Interessi passivi su mutui,CATEGORIA,,750305,
INTUR,USCITE_MUTUI,Interessi passivi bancari,CATEGORIA,,750101,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_CONSULENZE (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_CONSULENZE,Consulenza del lavoro,CATEGORIA,,61010191,
INTUR,USCITE_CONSULENZE,Consulenza fiscale,CATEGORIA,,610101,
INTUR,USCITE_CONSULENZE,Consulenza legale,CATEGORIA,,610105,
INTUR,USCITE_CONSULENZE,Prev. Consulenze Legali,CATEGORIA,,610105,
INTUR,USCITE_CONSULENZE,ALDEN,FORNITORE,993,,ALDEN SRL SOCIETA TRA PROFESSIONISTI
INTUR,USCITE_CONSULENZE,Revisore - Punzi,FORNITORE,678,,PUNZI PIERLUIGI
INTUR,USCITE_CONSULENZE,Cons. Marketing - Travaglini Armando,FORNITORE,1031,,Travaglini Armando
INTUR,USCITE_CONSULENZE,DG NETWORK,FORNITORE,7,,DG NETWORK
INTUR,USCITE_CONSULENZE,Geologo Antonio Apicella,FORNITORE,1546,,Geologo Antonio Apicella
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_GODIMENTO_BENI (INTUR) — vuoto nel PF
# ══════════════════════════════════════════════════════════════════════════════
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_SERVIZI_PRODUZIONE / Canoni e servizi (INTUR)
# ══════════════════════════════════════════════════════════════════════════════
INTUR,USCITE_SERVIZI_PRODUZIONE,Pin App,FORNITORE,331,,PIN APP EVO SRL
INTUR,USCITE_SERVIZI_PRODUZIONE,Concessione demaniale spiagge,CATEGORIA,,651190,
INTUR,USCITE_SERVIZI_PRODUZIONE,Spese Bancarie,CATEGORIA,,750107,
INTUR,USCITE_SERVIZI_PRODUZIONE,Banca Sella - canone e-commerce RID,CATEGORIA,,750194,
INTUR,USCITE_SERVIZI_PRODUZIONE,Amalfi Web,FORNITORE,131,,Amalfiweb S.r.l.s.
INTUR,USCITE_SERVIZI_PRODUZIONE,Commissioni Pos,CATEGORIA,,750195,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_VARIE (INTUR) — da completare
# ══════════════════════════════════════════════════════════════════════════════
# ══════════════════════════════════════════════════════════════════════════════
# NOTA ORTI: Godimento Beni di Terzi = fitti (canoni locazione)
# ══════════════════════════════════════════════════════════════════════════════
